issue,question,yes_percent,no_percent,votes,initial_order
Abortion,What is your stance on abortion?,38,62,36496561,0
Gay Marriage,Do you support the legalization of same sex marriage?,68,32,34703778,1
Gun Control,Should there be more restrictions on the current process of purchasing a gun?,51,49,36537645,2
LGBT Adoption Rights,Should gay couples have the same adoption rights as straight couples?,81,19,1351937,3
Planned Parenthood Funding,Should the government continue to fund Planned Parenthood?,63,37,16884222,4
Supreme Court Reform,Should the Supreme Court be reformed to include more seats and term limits on judges?,56,44,110587,5
Term Limits,Should there be term limits set for members of Congress?,86,14,13164790,6
Taxes,Should the U.S. raise taxes on the rich?,68,32,3898398,7
Drug Price Regulation,Should the government regulate the prices of life-saving drugs?,68,32,4296004,8
Equal Pay,Should employers be required to pay men and women the same salary for the same job?,79,21,14463048,9
Israel,Should the U.S. continue to support Israel?,63,37,9681414,10
Police Body Cameras,Should police officers be required to wear body cameras?,81,19,7645344,11
Climate Change,Should the government increase environmental regulations to prevent climate change?,63,37,24841816,12
Single-Payer Healthcare,Do you support a single-payer healthcare system?,63,37,1256129,13
Minimum Wage,Should the government raise the federal minimum wage?,57,43,27320117,14
Gender Transition,Should people under the age of 18 years old be able to receive gender-transition treatments?,37,63,37420,15
Government Mandates,Should health insurance providers be required to offer free birth control?,51,49,14561122,16
Gun Buyback,Should the federal government institute a mandatory buyback of assault weapons?,40,60,135251,17
Pre-Existing Conditions,Should health insurers be allowed to deny coverage to individuals who have a pre-existing condition?,15,85,1433141,18
Armed Teachers,Should teachers be allowed to carry guns at school?,33,67,2855491,19
Student Loans,Do you support increasing taxes for the rich in order to reduce interest rates for student loans?,53,47,24702103,20
Gender Identity,Should “gender identity” be added to anti-discrimination laws?,57,43,1611783,21
Paid Sick Leave,Should businesses be required to provide paid leave for full-time employees during the birth of a child or sick family member?,77,23,3310949,22
Marital Rape,Should marital rape be classified and punished as severely as non-marital rape?,83,17,372915,23
Mental Health,Should the government increase funding for mental health research and treatment?,85,15,714138,24
Deporting Criminal Immigrants,Should immigrants be deported if they commit a serious crime?,83,17,1522359,25
Corporate Tax,Should the U.S. raise or lower the tax rate for corporations?,67,33,716361,26
Critical Race Theory in K-12 Education,Should critical race theory be taught in K-12 education?,55,45,1230269,27
Electoral College,Should the electoral college be abolished?,43,57,4129231,28
Voter Fraud,Should a photo ID be required to vote?,79,21,19445493,29
Mandatory Military Service,Should every 18 year old citizen be required to provide at least one year of military service?,22,78,4150799,30
Free Tax Filing,Should the IRS create a free electronic tax filing system?,87,13,35569,31
Mandatory Vaccinations,Should the government require children to be vaccinated for preventable diseases?,70,30,9541978,32
Qualified Immunity for Police,Do you support qualified immunity for police officers?,36,64,142521,33
Free College for All,Should the federal government pay for tuition at four-year colleges and universities?,45,55,2931837,34
NATO,Should the U.S. remain in NATO?,80,20,137831,35
Border Security,Should the U.S. increase restrictions on its current border security policy?,71,29,16114419,36
Drug Policy,Are you in favor of decriminalizing drug use?,57,43,16661543,37
Foreign Lobbying,Should foreign lobbyists be allowed to raise money for American elections?,11,89,725754,38
Criminal Politicians,"Should a politician, who has been formerly convicted of a crime, be allowed to run for office?",57,43,145830,39
Transgender Athletes,Should transgender athletes be allowed to compete against athletes that differ from their assigned sex at birth?,51,49,242973,40
Campaign Finance,Should there be a limit to the amount of money a candidate can receive from a donor?,77,23,3334630,41
Defunding the Police,Should funding for local police departments be redirected to social and community based programs?,39,61,1695686,42
Immigration Healthcare,Should illegal immigrants have access to government-subsidized healthcare?,30,70,35213757,43
Marijuana,Do you support the legalization of Marijuana?,70,30,33671664,44
Medicaid,Should the federal government increase funding of health care for low income individuals (Medicaid)?,61,39,11526739,45
Immigration,Should children of illegal immigrants be granted legal citizenship?,54,46,17971774,46
Gerrymandering,"Should the redrawing of Congressional districts be controlled by an independent, non-partisan commission?",85,15,5682290,47
Alaska Wildlife Refuge,Should drilling be allowed in the Alaska Wildlife Refuge?,28,72,294162,48
Right of Foreigners to Vote,"Should foreigners, currently residing in the United States, have the right to vote?",37,63,4293308,49
Border Wall,Should the U.S. build a wall along the southern border?,39,61,4649729,50
No-Fly List Gun Control,Should people on the “no-fly list” be banned from purchasing guns and ammunition?,81,19,7851120,51
Racial Sensitivity Training,Should the federal government require racial sensitivity training for employees?,53,47,83096,52
Universal Pre-K,Should the federal government fund Universal preschool?,64,36,1504359,53
Government Spending,Should the government make cuts to public spending in order to reduce the national debt?,63,37,13786106,54
United Nations,Should the U.S. remain in the United Nations?,85,15,13774819,55
Obamacare,Do you support the Patient Protection and Affordable Care Act (Obamacare)?,45,55,35156212,56
First Amendment,"Should the government support a separation of church and state by removing references to God on money, federal buildings, and national monuments?",28,72,8393958,57
Labor Unions,Do you believe labor unions help or hurt the economy?,38,62,5381493,58
Hate Speech,Should hate speech be protected by the first amendment?,62,38,51255,59
Demilitarize the Police,Should police departments be allowed to use military grade equipment?,47,53,1068410,60
Corporate Mega Mergers,Should the government prevent “mega mergers” of corporations that could potentially control a large percentage of market share within its industry?,76,24,144162,61
Gun Liability,Should victims of gun violence be allowed to sue firearms dealers and manufacturers?,25,75,3692843,62
Religious Freedom Act,Should a business be able to deny service to a customer if the request conflicts with the owner’s religious beliefs?,46,54,10635609,63
Universal Basic Income,Do you support a universal basic income program?,47,53,1104476,64
Affirmative Action,Do you support affirmative action programs?,41,59,15451338,65
NSA Domestic Surveillance,"Should the NSA (National Security Agency) be allowed to collect basic metadata of citizen’s phone calls such as numbers, timestamps, and call durations?",31,69,4165903,66
In-State Tuition,Should undocumented immigrants be offered in-state tuition rates at public colleges within their residing state?,35,65,14173988,67
Sanctuary Cities,Should sanctuary cities receive federal funding?,48,52,222727,68
Private Prisons,Should the government hire private companies to run prisons?,22,78,352623,69
Military Spending,Should the government increase or decrease military spending?,53,47,4370499,70
Mandatory minimum prison sentences,Do you support mandatory minimum prison sentences for people charged with drug possession?,40,60,1853446,71
Social Security,Should the government raise the retirement age for Social Security?,30,70,3928365,72
Illegal Immigrant Detainment,Should local law enforcement be allowed to detain illegal immigrants for minor crimes and transfer them to federal immigration authorities?,61,39,6126922,73
Foreign Aid,Should the US increase or decrease foreign aid spending?,19,81,1709269,74
Social Media Regulation,"Should the government regulate social media sites, as a means to prevent fake news and misinformation?",26,74,82989,75
COVID Employment Health Pass,Should the government require employees of large businesses to be vaccinated from COVID?,32,68,716732,76
Campaign Finance,"Should corporations, unions, and non-profit organizations be allowed to donate to political parties?",42,58,418330,77
Medicaid Work Requirement,Should people be required to work in order to receive Medicaid?,36,64,160543,78
Safe Haven,Should cities open drug “safe havens” where people who are addicted to illegal drugs can use them under the supervision of medical professionals?,48,52,117797,79
Iran,Should the U.S. go to war with Iran?,14,86,146412,80
Oil Drilling,Should the U.S. expand offshore oil drilling?,52,48,21683932,81
Public Transportation,Should the government increase spending on public transportation?,63,37,4025782,82
Medicare Drug Prices,Should the federal government be allowed to negotiate drug prices for Medicare?,76,24,125188,83
Capital Gains Tax,"Should the government increase the tax rate on profits earned from the sale of stocks, bonds, and real estate?",31,69,2757784,84
School Vouchers,Should the government offer students a voucher that they can use to attend private schools?,45,55,54581,85
Welfare Drug Testing,Should welfare recipients be tested for drugs?,78,22,4675716,86
Paris Climate Agreement,Should the U.S. withdraw from the Paris Climate Agreement?,38,62,3873398,87
Immigrant Laborers,Should working illegal immigrants be given temporary amnesty?,51,49,15281854,88
Overtime Pay,"Should the government require businesses to pay salaried employees, making up to $46k/year, time-and-a-half for overtime hours?",63,37,514647,89
Confederate Flag,Should states be allowed to display the Confederate flag on government property?,49,51,4790244,90
Citizenship Test,"Should immigrants be required to pass a citizenship test to demonstrate a basic understanding of our country’s language, history, and government?",79,21,123367,91
Candidate Transparency,Should political candidates be required to release their recent tax returns to the public?,67,33,2480580,92
Economic Stimulus,Should the government use economic stimulus to aid the country during times of recession?,73,27,191128,93
Gender Workplace Diversity,Should businesses be required to have women on their board of directors?,26,74,2889961,94
Death Penalty,Do you support the death penalty?,71,29,16821217,95
Patriot Act,Do you support the Patriot Act?,55,45,12725906,96
Nuclear Energy,Do you support the use of nuclear energy?,68,32,7775418,97
Welfare,Should there be fewer or more restrictions on current welfare benefits?,70,30,319286,98
Solitary Confinement for Juveniles,Should prisons ban the use of solitary confinement for juveniles?,48,52,12417297,99
Muslim Surveillance,Should local police increase surveillance and patrol of Muslim neighborhoods?,29,71,1200806,100
Lobbyists,Should there be a 5-year ban on White House and Congressional officials from becoming lobbyists after they leave the government?,79,21,129409,101
Drug Trafficking Penalties,Should drug traffickers receive the death penalty?,23,77,745011,102
Fracking,Do you support the use of hydraulic fracking to extract oil and natural gas resources?,48,52,14706156,103
Plastic Product Ban,"Should disposable products (such as plastic cups, plates, and cutlery) that contain less than 50% of biodegradable material be banned?",52,48,2138503,104
Collective Bargaining,Do you support limiting police unions collective bargaining power for cases involving misconduct?,68,32,62553,105
Torture,"Should the military be allowed to use enhanced interrogation techniques, such as waterboarding, to gain information from suspected terrorists?",59,41,2469719,106
Skilled Immigrants,Should the US increase or decrease the amount of temporary work visas given to high-skilled immigrant workers?,55,45,1807876,107
Homeless Encampments,"Should homeless individuals, that have refused available shelter or housing, be allowed to sleep or encamp on public property?",42,58,817011,108
Criminal Voting Rights,Should convicted criminals have the right to vote?,59,41,10462691,109
Common Core,Do you support Common Core national standards?,36,64,25017289,110
Minimum Voting Age,Should the minimum voting age be lowered?,17,83,207762,111
Foreign Elections,Should the government attempt to influence foreign elections?,19,81,69294,112
Eminent Domain,"Should the government be allowed to seize private property, with reasonable compensation, for public or civic use?",40,60,1254323,113
Immigrant Assimilation,Should immigrants be required to learn English?,66,34,8369927,114
Alternative Energy,Should the government give tax credits and subsidies to the wind power industry?,71,29,9809550,115
Charter Schools,Do you support charter schools?,62,38,703226,116
Whistleblower Protection,Should the government pass laws which protect whistleblowers?,85,15,68945,117
Euthanasia,Should terminally ill patients be allowed to end their lives via assisted suicide?,76,24,8420690,118
Women in Combat,Should the military allow women to serve in combat roles?,85,15,2771964,119
GMO Labels,Should producers be required to label genetically engineered foods (GMOs)?,86,14,9333043,120
Military Congressional Approval,Should the President be able to authorize military force against Al-Qaeda without Congressional approval?,35,65,4029730,121
Terrorism,Should foreign terrorism suspects be given constitutional rights?,25,75,26766435,122
Dakota Access Pipeline,Should the government stop construction of the Dakota Access pipeline?,36,64,1362206,123
Animal Testing,"Should researchers be allowed to use animals in testing the safety of drugs, vaccines, medical devices, and cosmetics?",63,37,107955,124
Net Neutrality,Should internet service providers be allowed to speed up access to popular websites (that pay higher rates) at the expense of slowing down access to less popular websites (that pay lower rates)?,17,83,6143714,125
VA Privatization,Should there be more or less privatization of veterans’ healthcare?,57,43,148420,126
NATO,Should the U.S. defend other NATO countries that maintain low military defense budgets relative to their GDP?,55,45,248248,127
World Health Organization,Should the government fund the World Health Organization?,71,29,268380,128
Flag Burning,Should it be illegal to burn the American flag?,35,65,204977,129
Prison Overcrowding,Should non-violent prisoners be released from jail in order to reduce overcrowding?,61,39,915180,130
Drones,Should the military fly drones over foreign countries to gain intelligence and kill suspected terrorists?,68,32,9289994,131
Safe Spaces,Should universities provide “trigger warnings” and “safe spaces” for students?,43,57,228240,132
Domestic Jobs,Should the President offer tax breaks to individual companies to keep jobs in the U.S.?,55,45,95084,133
Dual Citizenship,Should immigrants to the United States be allowed to hold dual citizenship status?,79,21,102055,134
Estate Tax,Should the current estate tax rate be decreased?,56,44,218413,135
Foreign Assassination,Should the US assassinate suspected terrorists in foreign countries?,60,40,4308552,136
Niqāb,"Should women be allowed to wear a Niqāb, or face veil, to civic ceremonies?",82,18,271096,137
Space Exploration,Should the government fund space travel?,67,33,11544160,138
North Korea Military Strikes,Should the U.S. conduct military strikes against North Korea in order to destroy their long-range missile and nuclear weapons capabilities?,25,75,1655694,139
Farm Subsidies,Should the government subsidize farmers?,61,39,10033258,140
NSA Surveillance,Should the U.S. continue NSA surveillance of its allies?,53,47,5476683,141
Tech Monopolies,"Should the government break up Amazon, Facebook and Google?",38,62,63843,142
